key,in X percent of dataset,Explanation
116,0.4185705916813122, Is there a methyl group separated by three bonds to a methine group?  
117,0.09548916227299356, Is there a nitrogen and oxygen atom separated by one atom? 
118,0.29906268306971295, Are there more than one instance two methylenes bonded together?  
119,0.30169888693614527, Is there a double bonded nitrogen?   
120,0.05418863503222027, Is there more than one heteroatom in the ring? 
122,0.30169888693614527, Is there a nitrogen bonded to three atoms?  
123,0.37258347978910367, Is there a carbon bonded to two oxygens?  
124,0.6063268892794376, Are there two heteroatoms bonded together?  
126,0.6268306971294669, Is there an oxygen with two non-ring bonds?  
127,0.1766256590509666, Is there more than one instance of an atom connected to an oxygen atom and that sits in a ring?  
128,0.1701816051552431, Are there two methylene groups separated by three atoms?  
129,0.23403632103104863, Are there two methylene groups separated by two atoms?  
130,0.31370826010544817, Is there more than one instance of two heteroatoms bonded together?  
131,0.29671939074399534, Is there more than one hydrogen atoms bonded to a heteroatoms?  
132,0.630638547158758, Is there an oxygen separated  by one atom to an aliphatic carbon?  
133,0.032806092560046865, Is there an atom connected to an nitrogen atom and that sits in a ring?  
134,0.03368482718219098, Is there a halogen atom? 
135,0.016403046280023433, Is there a nitrogen atom connected via a non-aromatic bond to two atoms bonded by an aromatic bond? 
136,0.5166959578207382, Is there more than 1 double bonded oxygen?  
137,0.12272993555946105, Is there an aromatic carbon in a ring?  
138,0.05916813122437024, Is there a heteroatom bonded to a methylene bridge? 
139,0.7580550673696543, Is there an hydroxyl group?  
140,0.5808435852372583, Is there more than three oxygens?  
141,0.161394258933802, Is there more than 2 methyl groups?  
142,0.030755711775043937, Is there more than one nitrogen atom?  
143,0.1766256590509666, Is there an atom connected to an oxygen atom and that sits in a ring?  
144,0.04159343878148799, Are there two atoms connected via an aromatic bond that each also are connected to at least one other atom with a non-aromatic bond?  
145,0.012888107791446984, Is there more than one six membered ring?  
146,0.7961335676625659, Is there more than 2 oxygen atom?  
147,0.29935559461042766, Are there two methylene groups bonded together?  
148,0.30433509080257765, Is there a heteroatom bonded to three atoms?  
149,0.5644405389572349, Is there more than one methyl group?  
150,0.252489748096075, Is there a bond between two atoms that each have a ring bond?  
152,0.7759226713532513, Is there a carbon atom bonded to two carbon atoms and one oxygen atom?  
153,0.3476859988283538, Is there a methylene bridge bonded to a heteroatom?  
154,0.7065026362038664, Is there at least one carbonyl group?  
155,0.6818980667838312, Is there a methylene bridge connected by to non-ring bonds?  
156,0.03456356180433509," Is there an atom bonded to three atoms, one of which is a nitrogen?  "
157,0.9004100761570006, Is there a single bond between a oxygen and carbon?  
158,0.03485647334504979, Is there a single bond between a nitrogen and carbon?  
159,0.9261862917398945, Are there more than one oxygen atoms?  
160,0.8667252489748096, Is there a methyl group?  
161,0.30169888693614527, Is there a nitrogen atom?  
162,0.06707674282366725, Is the molecule aromatic?  
163,0.1687170474516696, Is there a six membered ring?  
164,0.976274165202109, Is there a oxygen atom ?  
165,0.3037492677211482, Does the molecule have a ring fragment?  
